name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,15.23,-40.05,200
I35_Sycamore_South,34.35,-97.13,13.74,-39.14,200
Kansas_OK_Outcrop,36.2,-94.77,15.59,-37.15,200
Hamsten_Unit_Core,36.82,-98.87,16.23,-40.57,200
Bakken,50.75,-110.52,30.61,-48.8,200
