name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,35.83,-98.23,0
I35_Sycamore_South,34.35,-97.13,34.35,-97.13,0
Kansas_OK_Outcrop,36.2,-94.77,36.2,-94.77,0
Hamsten_Unit_Core,36.82,-98.87,36.82,-98.87,0
Bakken,50.75,-110.52,50.75,-110.52,0
