name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,-3.17,-30.73,300
I35_Sycamore_South,34.35,-97.13,-4.9,-30.78,300
Kansas_OK_Outcrop,36.2,-94.77,-4.34,-28.16,300
Hamsten_Unit_Core,36.82,-98.87,-2.06,-30.62,300
Bakken,50.75,-110.52,14.07,-28.79,300
