name,LAT,LON
Shaffer-Rohling_Core,35.83,-98.23
I35_Sycamore_South,34.35,-97.13
Kansas_OK_Outcrop,36.20,-94.77
Hamsten_Unit_Core,36.82,-98.87
Bakken,50.75,-110.52
