name,LAT,LON
Catskill-1,36.9,-80.13
Catskill-2,37.58,-80.23
Catskill-3,37.8,-82.13
Catskill-4,38.78,-82.25
Catskill-5,39.43,-82.5
Catskill-6,40.73,-80.53
Catskill-7,41.93,-78.68
Catskill-8,43.62,-78.3
Catskill-9,44.58,-77.45
Catskill-10,43.62,-75.27
Catskill-11,43.77,-73.87
Catskill-12,41.82,-73.87
Catskill-13,40.8,-75.08
Catskill-14,40.38,-76.25
Catskill-15,39.7,-77.48
Catskill-16,38.33,-77.97
